FIELD OF STUDY NAME,CF FIELD OF STUDY RELATED ID,,,CF FIELD OF STUDY ID,CF FIELD OF STUDY NAME,,Latest Field of study 03/08/2022,Has been assigned,,LEVEL OF STUDY NAME,CF LEVEL OF STUDY RELATED ID,,CF LEVEL OF STUDY ID,CF LEVEL OF STUDY NAME,,Latest Level of study 03/08/2022,Has been assigned
electrical engineering and information technology,electrical_engineering,,,,,,electrical engineering and information technology,TRUE,,,,,,,,,
"humanities, political and social sciences",political_science,,,,,,"humanities, political and social sciences",TRUE,,,,,,,,,
natural sciences and mathematics,physics,,,,,,natural sciences and mathematics,TRUE,,,,,,,,,
ethnology,sociology,,,,,,ethnology,TRUE,,,,,,,,,
astronomy,physics,,,,,,astronomy,TRUE,,,,,,,,,
biomedics,life_sciences,,,,,,biomedics,TRUE,,,,,,,,,
business analytics,business_engineering,,,,,,business analytics,TRUE,,,,,,,,,
chemistry & biochemistry,chemistry,,,,,,chemistry & biochemistry,TRUE,,,,,,,,,
commodity trading,business_administration_economics,,,,,,commodity trading,TRUE,,,,,,,,,
earth and environmental sciences,earth_sciences,,,,,,earth and environmental sciences,TRUE,,,,,,,,,
economics and management,business_administration_economics,,,,,,economics and management,TRUE,,,,,,,,,
educational sciences,education,,,,,,educational sciences,TRUE,,,,,,,,,
global health,medicine,,,,,,global health,TRUE,,,,,,,,,
international relations,political_science,,,,,,international relations,TRUE,,,,,,,,,
"languages, literature and culture",linguistics_and_languages,,,,,,"languages, literature and culture",TRUE,,,,,,,,,
public management,public_administration,,,,,,public management,TRUE,,,,,,,,,
translation and interpreting,linguistics_and_languages,,,,,,translation and interpreting,TRUE,,,,,,,,,
wealth management,business_administration_economics,,,,,,wealth management,TRUE,,,,,,,,,
commerce,business_administration_economics,,,,,,commerce,TRUE,,,,,,,,,
chimie,chemistry,,,,,,chimie,TRUE,,,,,,,,,
energie,physics,,,,,,energie,TRUE,,,,,,,,,
ingénierie de la santé,medicine,,,,,,ingénierie de la santé,TRUE,,,,,,,,,
betriebsökonomie,business_administration_economics,,,,,,betriebsökonomie,TRUE,,,,,,,,,
